<PorterStemmer>
33.50181579589844
         51751046 function calls (51737076 primitive calls) in 33.900 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.002    0.002 _arff.py:189(_build_re_values)
        1    0.000    0.000    0.002    0.002 internals.py:10(<module>)
        1    0.000    0.000    0.002    0.002 fixes.py:1(<module>)
        1    0.000    0.000    0.002    0.002 iterative.py:1(<module>)
        1    0.000    0.000    0.002    0.002 lapack.py:1(<module>)
        6    0.000    0.000    0.002    0.000 dataclasses.py:1170(make_dataclass)
        1    0.000    0.000    0.002    0.002 minpack.py:1(<module>)
       19    0.000    0.000    0.002    0.000 _distn_infrastructure.py:2998(_attach_methods)
        1    0.000    0.000    0.002    0.002 socket.py:4(<module>)
        1    0.000    0.000    0.002    0.002 core.py:1(<module>)
       99    0.002    0.000    0.002    0.000 {built-in method posix.listdir}
        1    0.000    0.000    0.002    0.002 logger.py:1(<module>)
        2    0.000    0.000    0.002    0.001 _add_newdocs.py:1(<module>)
      292    0.000    0.000    0.002    0.000 function_base.py:475(add_newdoc)
        5    0.000    0.000    0.002    0.000 regex.py:451(_compile)
        1    0.000    0.000    0.002    0.002 scimath.py:1(<module>)
     7768    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:231(_verbose_message)
     2493    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:79(_unpack_uint32)
        1    0.000    0.000    0.002    0.002 _compat.py:5(<module>)
        1    0.000    0.000    0.002    0.002 disk.py:1(<module>)
        1    0.000    0.000    0.002    0.002 ivp.py:1(<module>)
        4    0.000    0.000    0.002    0.000 regex.py:349(compile)
        1    0.000    0.000    0.002    0.002 _version.py:7(<module>)
      831    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:593(_validate_timestamp_pyc)
        1    0.000    0.000    0.002    0.002 morestats.py:1(<module>)
  196/186    0.000    0.000    0.002    0.000 typing.py:262(inner)
     7932    0.002    0.000    0.002    0.000 {built-in method builtins.hasattr}
        2    0.000    0.000    0.002    0.001 util.py:8(<module>)
     6254    0.001    0.000    0.002    0.000 {built-in method builtins.setattr}
        1    0.000    0.000    0.002    0.002 _pslinux.py:1590(Process)
    24075    0.002    0.000    0.002    0.000 {method 'lstrip' of 'str' objects}
        1    0.000    0.000    0.002    0.002 lexicon.py:7(<module>)
        1    0.000    0.000    0.002    0.002 pydoc.py:2(<module>)
        1    0.000    0.000    0.002    0.002 boxer.py:10(<module>)
        1    0.000    0.000    0.002    0.002 reusable_executor.py:6(<module>)
    18738    0.002    0.000    0.002    0.000 {method 'rstrip' of 'str' objects}
       11    0.000    0.000    0.002    0.000 decorator.py:177(create)
        1    0.000    0.000    0.002    0.002 nonlin.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _linprog_ip.py:1(<module>)
      353    0.000    0.000    0.002    0.000 sre_parse.py:96(closegroup)
        1    0.000    0.000    0.002    0.002 xmldocs.py:8(<module>)
        1    0.000    0.000    0.002    0.002 numerictypes.py:1(<module>)
        2    0.000    0.000    0.002    0.001 polynomial.py:1(<module>)
        1    0.000    0.000    0.001    0.001 xmldocs.py:81(XMLCorpusView)
     1017    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:185(cb)
        9    0.000    0.000    0.001    0.000 decorator.py:200(decorate)
        1    0.000    0.000    0.001    0.001 header.py:5(<module>)
        1    0.000    0.000    0.001    0.001 shutil.py:1(<module>)
     2652    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:398(parent)
