<PorterStemmer>
33.50181579589844
         51751046 function calls (51737076 primitive calls) in 33.900 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 _globals.py:77(__new__)
        1    0.000    0.000    0.000    0.000 index_tricks.py:307(AxisConcatenator)
        1    0.000    0.000    0.000    0.000 request.py:2391(ftpwrapper)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:123(kstwo_gen)
        1    0.000    0.000    0.000    0.000 api.py:15(AlignedSent)
        1    0.000    0.000    0.000    0.000 crubadan.py:29(CrubadanCorpusReader)
        1    0.000    0.000    0.000    0.000 comparative_sents.py:51(Comparison)
        1    0.000    0.000    0.000    0.000 downloader.py:198(Package)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:9028(argus_gen)
        1    0.000    0.000    0.000    0.000 chart.py:103(CCGLeafEdge)
        1    0.000    0.000    0.000    0.000 _regex_core.py:2651(Fuzzy)
        1    0.000    0.000    0.000    0.000 arrayterator.py:16(Arrayterator)
        1    0.000    0.000    0.000    0.000 argparse.py:868(BooleanOptionalAction)
        1    0.000    0.000    0.000    0.000 _pep440.py:149(__ge__)
        1    0.000    0.000    0.000    0.000 logic.py:1716(QuantifiedExpression)
        1    0.000    0.000    0.000    0.000 lfg.py:14(FStructure)
        1    0.000    0.000    0.000    0.000 probability.py:764(MLEProbDist)
        1    0.000    0.000    0.000    0.000 _multivariate.py:3473(__init__)
        1    0.000    0.000    0.000    0.000 _multivariate.py:3758(__init__)
        1    0.000    0.000    0.000    0.000 base.py:217(DenseOutput)
        3    0.000    0.000    0.000    0.000 internals.py:491(__init__)
        1    0.000    0.000    0.000    0.000 propbank.py:375(PropbankTreePointer)
       24    0.000    0.000    0.000    0.000 {method 'pop' of 'set' objects}
        7    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
        1    0.000    0.000    0.000    0.000 confusion_matrix.py:12(ConfusionMatrixDisplay)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:6908(rdist_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:8622(wald_gen)
        1    0.000    0.000    0.000    0.000 _split.py:1557(BaseShuffleSplit)
        1    0.000    0.000    0.000    0.000 logic.py:616(Variable)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1778(C14NWriterTarget)
        1    0.000    0.000    0.000    0.000 gzip.py:401(_GzipReader)
        1    0.000    0.000    0.000    0.000 interpolate.py:724(_PPolyBase)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:392(alpha_gen)
        7    0.000    0.000    0.000    0.000 _regex_core.py:2127(<genexpr>)
        1    0.000    0.000    0.000    0.000 tempfile.py:263(_RandomNameSequence)
        1    0.000    0.000    0.000    0.000 api.py:83(CCGVar)
        1    0.000    0.000    0.000    0.000 _logistic.py:1120(LogisticRegression)
        1    0.000    0.000    0.000    0.000 morestats.py:2157(_ABW)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:66(ksone_gen)
        1    0.000    0.000    0.000    0.000 report.py:55(IPReport)
        1    0.000    0.000    0.000    0.000 nps_chat.py:19(NPSChatCorpusReader)
        1    0.000    0.000    0.000    0.000 transitionparser.py:26(Configuration)
        1    0.000    0.000    0.000    0.000 _base.py:314(Future)
        2    0.000    0.000    0.000    0.000 compressor.py:97(__init__)
        1    0.000    0.000    0.000    0.000 _multivariate.py:3271(special_ortho_group_gen)
        1    0.000    0.000    0.000    0.000 morestats.py:2163(__init__)
        1    0.000    0.000    0.000    0.000 tr_interior_point.py:23(BarrierSubproblem)
        1    0.000    0.000    0.000    0.000 argparse.py:1821(_get_positional_actions)
        1    0.000    0.000    0.000    0.000 memory.py:292(NotMemorizedResult)
        1    0.000    0.000    0.000    0.000 _exceptions.py:54(_UFuncNoLoopError)
        1    0.000    0.000    0.000    0.000 _split.py:54(BaseCrossValidator)
        1    0.000    0.000    0.000    0.000 earleychart.py:61(IncrementalChart)
        1    0.000    0.000    0.000    0.000 loader.py:77(__init__)
        6    0.000    0.000    0.000    0.000 _threadsafety.py:48(non_reentrant)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:1909(f_gen)
        7    0.000    0.000    0.000    0.000 chart.py:163(__init__)
        1    0.000    0.000    0.000    0.000 data.py:255(PathPointer)
        4    0.000    0.000    0.000    0.000 logic.py:124(<listcomp>)
        1    0.000    0.000    0.000    0.000 _discrete_distns.py:1488(_nchypergeom_gen)
        1    0.000    0.000    0.000    0.000 util.py:95(CJKChars)
        1    0.000    0.000    0.000    0.000 _classes.py:1234(NuSVR)
        1    0.000    0.000    0.000    0.000 _basinhopping.py:295(Metropolis)
        3    0.000    0.000    0.000    0.000 __init__.py:502(CFunctionType)
        2    0.000    0.000    0.000    0.000 pathlib.py:61(__init__)
        1    0.000    0.000    0.000    0.000 api.py:303(FunctionalCategory)
        1    0.000    0.000    0.000    0.000 wordlist.py:69(<dictcomp>)
        1    0.000    0.000    0.000    0.000 queue.py:258(_PySimpleQueue)
        1    0.000    0.000    0.000    0.000 lexicon.py:45(Token)
        1    0.000    0.000    0.000    0.000 reduction.py:33(ForkingPickler)
        1    0.000    0.000    0.000    0.000 discourse.py:169(DiscourseTester)
        1    0.000    0.000    0.000    0.000 _ridge.py:1279(_X_CenterStackOp)
        1    0.000    0.000    0.000    0.000 context.py:258(LokyContext)
        1    0.000    0.000    0.000    0.000 pathlib.py:571(_RecursiveWildcardSelector)
       14    0.000    0.000    0.000    0.000 enum.py:1016(<lambda>)
        1    0.000    0.000    0.000    0.000 api.py:26(Prover)
        1    0.000    0.000    0.000    0.000 panlex_lite.py:20(PanLexLiteCorpusReader)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:1599(exponnorm_gen)
        1    0.000    0.000    0.000    0.000 _tags.py:1(<module>)
        1    0.000    0.000    0.000    0.000 feedparser.py:45(BufferedSubFile)
       16    0.000    0.000    0.000    0.000 {method 'getrandbits' of '_random.Random' objects}
        1    0.000    0.000    0.000    0.000 _parallel_backends.py:263(AutoBatchingMixin)
        1    0.000    0.000    0.000    0.000 ssl.py:446(_ASN1Object)
        1    0.000    0.000    0.000    0.000 _discrete_distns.py:1372(yulesimon_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:7594(triang_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:8803(halfgennorm_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:3482(halfnorm_gen)
        1    0.000    0.000    0.000    0.000 base.py:25(OdeSolver)
        1    0.000    0.000    0.000    0.000 getlimits.py:461(iinfo)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1515(XMLParser)
        4    0.000    0.000    0.000    0.000 typing.py:828(__repr__)
        1    0.000    0.000    0.000    0.000 framenet.py:771(AttrDict)
        1    0.000    0.000    0.000    0.000 _ransac.py:56(RANSACRegressor)
        1    0.000    0.000    0.000    0.000 metaestimators.py:165(_IffHasAttrDescriptor)
        1    0.000    0.000    0.000    0.000 weka.py:83(WekaClassifier)
        1    0.000    0.000    0.000    0.000 _data.py:2340(QuantileTransformer)
        1    0.000    0.000    0.000    0.000 rte_classify.py:25(RTEFeatureExtractor)
        1    0.000    0.000    0.000    0.000 models.py:63(StupidBackoff)
        1    0.000    0.000    0.000    0.000 logic.py:1801(BinaryExpression)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:4407(laplace_asymmetric_gen)
        1    0.000    0.000    0.000    0.000 _exceptions.py:141(_ArrayMemoryError)
        1    0.000    0.000    0.000    0.000 _mannwhitneyu.py:19(_MWU)
        1    0.000    0.000    0.000    0.000 framenet.py:968(PrettyList)
        1    0.000    0.000    0.000    0.000 _hash.py:29(FeatureHasher)
        1    0.000    0.000    0.000    0.000 _regex_core.py:3769(SetUnion)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:7096(reciprocal_gen)
        1    0.000    0.000    0.000    0.000 _distn_infrastructure.py:3610(rv_sample)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:2382(genexpon_gen)
        1    0.000    0.000    0.000    0.000 _encoded_words.py:73(_QByteMap)
        1    0.000    0.000    0.000    0.000 suite.py:16(BaseTestSuite)
        1    0.000    0.000    0.000    0.000 _constraints.py:157(Bounds)
        1    0.000    0.000    0.000    0.000 linearlogic.py:366(BindingDict)
        1    0.000    0.000    0.000    0.000 optimize.py:82(OptimizeResult)
        1    0.000    0.000    0.000    0.000 _function_transformer.py:12(FunctionTransformer)
        1    0.000    0.000    0.000    0.000 base.py:734(BiclusterMixin)
        1    0.000    0.000    0.000    0.000 _regex_core.py:2803(GreedyRepeat)
        1    0.000    0.000    0.000    0.000 _regex_core.py:1034(parse_flag_set)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:8735(gennorm_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:6048(nakagami_gen)
        1    0.000    0.000    0.000    0.000 _ode.py:1040(zvode)
        1    0.000    0.000    0.000    0.000 pathlib.py:285(_PosixFlavour)
        1    0.000    0.000    0.000    0.000 arlstem.py:32(ARLSTem)
        1    0.000    0.000    0.000    0.000 _regex_core.py:3309(RefGroup)
        1    0.000    0.000    0.000    0.000 _shgo.py:1511(LMap)
        1    0.000    0.000    0.000    0.000 argparse.py:1066(_CountAction)
        1    0.000    0.000    0.000    0.000 argparse.py:1108(_VersionAction)
        9    0.000    0.000    0.000    0.000 _globals.py:87(__repr__)
        1    0.000    0.000    0.000    0.000 _parallel_backends.py:480(LokyBackend)
        1    0.000    0.000    0.000    0.000 _hessian_update_strategy.py:111(__init__)
        1    0.000    0.000    0.000    0.000 string.py:57(Template)
        1    0.000    0.000    0.000    0.000 gzip.py:74(_PaddedFile)
       24    0.000    0.000    0.000    0.000 _regex_core.py:1842(fix_groups)
        1    0.000    0.000    0.000    0.000 _bayes.py:24(BayesianRidge)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:4544(levy_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:5528(maxwell_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:2135(weibull_max_gen)
        1    0.000    0.000    0.000    0.000 extras.py:1467(MAxisConcatenator)
        4    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_iscased}
        1    0.000    0.000    0.000    0.000 featurechart.py:162(FeatureChart)
        1    0.000    0.000    0.000    0.000 api.py:17(ChunkParserI)
        1    0.000    0.000    0.000    0.000 maxent.py:429(FunctionBackedMaxentFeatureEncoding)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:1191(chi_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:1260(chi2_gen)
        1    0.000    0.000    0.000    0.000 case.py:1346(FunctionTestCase)
        3    0.000    0.000    0.000    0.000 core.py:1357(getmask)
        1    0.000    0.000    0.000    0.000 __init__.py:729(Filter)
        1    0.000    0.000    0.000    0.000 wordnet.py:2135(WordNetICCorpusReader)
        1    0.000    0.000    0.000    0.000 _regex_core.py:1942(Atomic)
        1    0.000    0.000    0.000    0.000 link.py:80(LogLink)
        1    0.000    0.000    0.000    0.000 warnings.py:437(__init__)
        1    0.000    0.000    0.000    0.000 _data.py:632(StandardScaler)
        1    0.000    0.000    0.000    0.000 _regex_core.py:3680(SetDiff)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:2971(genhyperbolic_gen)
        3    0.000    0.000    0.000    0.000 core.py:801(__init__)
        1    0.000    0.000    0.000    0.000 ndgriddata.py:20(NearestNDInterpolator)
        1    0.000    0.000    0.000    0.000 polyint.py:15(_Interpolator1D)
        6    0.000    0.000    0.000    0.000 _type_aliases.py:92(<genexpr>)
        1    0.000    0.000    0.000    0.000 naivebayes.py:43(NaiveBayesClassifier)
        1    0.000    0.000    0.000    0.000 decorators.py:23(<listcomp>)
        1    0.000    0.000    0.000    0.000 _multivariate.py:2883(multinomial_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:6542(lomax_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:5475(gilbrat_gen)
        1    0.000    0.000    0.000    0.000 __init__.py:925(__init__)
        3    0.000    0.000    0.000    0.000 __init__.py:408(<genexpr>)
        1    0.000    0.000    0.000    0.000 pool.py:742(ApplyResult)
        1    0.000    0.000    0.000    0.000 boxer.py:1031(BoxerDrs)
        1    0.000    0.000    0.000    0.000 response.py:68(addinfourl)
        1    0.000    0.000    0.000    0.000 __init__.py:319(CDLL)
        6    0.000    0.000    0.000    0.000 _collections_abc.py:315(__subclasshook__)
        1    0.000    0.000    0.000    0.000 tarfile.py:569(_StreamProxy)
        1    0.000    0.000    0.000    0.000 resolution.py:108(ResolutionProverCommand)
        1    0.000    0.000    0.000    0.000 traceback.py:227(FrameSummary)
        1    0.000    0.000    0.000    0.000 featurechart.py:46(FeatureTreeEdge)
        1    0.000    0.000    0.000    0.000 nombank.py:18(NombankCorpusReader)
        1    0.000    0.000    0.000    0.000 tnt.py:23(TnT)
        1    0.000    0.000    0.000    0.000 casual.py:305(__init__)
        1    0.000    0.000    0.000    0.000 collections.py:22(OrderedDict)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:2206(genlogistic_gen)
        1    0.000    0.000    0.000    0.000 isri.py:36(ISRIStemmer)
        1    0.000    0.000    0.000    0.000 snowball.py:2774(HungarianStemmer)
       19    0.000    0.000    0.000    0.000 _regex_core.py:1848(pack_characters)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:6773(powerlaw_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:2779(erlang_gen)
        1    0.000    0.000    0.000    0.000 argparse.py:696(ArgumentDefaultsHelpFormatter)
        1    0.000    0.000    0.000    0.000 probability.py:1147(CrossValidationProbDist)
        1    0.000    0.000    0.000    0.000 process.py:66(_ThreadWakeup)
        1    0.000    0.000    0.000    0.000 numpy_pickle.py:287(NumpyUnpickler)
        1    0.000    0.000    0.000    0.000 request.py:1078(AbstractDigestAuthHandler)
        7    0.000    0.000    0.000    0.000 _bunch.py:129(<genexpr>)
        4    0.000    0.000    0.000    0.000 iterative.py:119(set_docstring)
        8    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
        1    0.000    0.000    0.000    0.000 memory.py:333(NotMemorizedFunc)
        1    0.000    0.000    0.000    0.000 xmlreader.py:91(IncrementalParser)
        2    0.000    0.000    0.000    0.000 {built-in method regex._regex.get_all_cases}
        3    0.000    0.000    0.000    0.000 doccer.py:150(replace_notes_in_docstring)
        1    0.000    0.000    0.000    0.000 logic.py:1593(VariableBinderExpression)
        1    0.000    0.000    0.000    0.000 calendar.py:72(<listcomp>)
        1    0.000    0.000    0.000    0.000 _discrete_distns.py:730(logser_gen)
        1    0.000    0.000    0.000    0.000 ibm4.py:111(IBMModel4)
        1    0.000    0.000    0.000    0.000 api.py:592(TheoremToolThread)
        1    0.000    0.000    0.000    0.000 encoder.py:104(__init__)
        1    0.000    0.000    0.000    0.000 collocations.py:150(BigramCollocationFinder)
        1    0.000    0.000    0.000    0.000 _discrete_distns.py:23(binom_gen)
        1    0.000    0.000    0.000    0.000 platform.py:741(_Processor)
        1    0.000    0.000    0.000    0.000 _compression.py:33(DecompressReader)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:7411(skew_norm_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:8324(tukeylambda_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:1374(dgamma_gen)
        1    0.000    0.000    0.000    0.000 argparse.py:2172(_match_arguments_partial)
        1    0.000    0.000    0.000    0.000 probability.py:1583(MutableProbDist)
        1    0.000    0.000    0.000    0.000 __init__.py:687(BufferingFormatter)
        1    0.000    0.000    0.000    0.000 sequential.py:221(DefaultTagger)
        1    0.000    0.000    0.000    0.000 _page_trend_test.py:409(_PageL)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:6174(ncf_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:1431(dweibull_gen)
        1    0.000    0.000    0.000    0.000 matfuncs.py:172(MatrixPowerOperator)
        2    0.000    0.000    0.000    0.000 {built-in method sys.getfilesystemencoding}
        1    0.000    0.000    0.000    0.000 api.py:21(TaggerI)
        1    0.000    0.000    0.000    0.000 _regex_core.py:3316(__init__)
        1    0.000    0.000    0.000    0.000 api.py:122(ProverCommand)
        1    0.000    0.000    0.000    0.000 _parallel_backends.py:411(MultiprocessingBackend)
        1    0.000    0.000    0.000    0.000 _cubic.py:156(PchipInterpolator)
        1    0.000    0.000    0.000    0.000 api.py:150(ModelBuilderCommand)
        1    0.000    0.000    0.000    0.000 handler.py:47(ContentHandler)
        1    0.000    0.000    0.000    0.000 _regex_core.py:2925(Group)
        1    0.000    0.000    0.000    0.000 _parseaddr.py:504(AddressList)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:4596(levy_l_gen)
        1    0.000    0.000    0.000    0.000 xmldocs.py:24(XMLCorpusReader)
        1    0.000    0.000    0.000    0.000 recursivedescent.py:17(RecursiveDescentParser)
        1    0.000    0.000    0.000    0.000 _classes.py:293(LinearSVR)
        1    0.000    0.000    0.000    0.000 punkt.py:532(PunktBaseClass)
        1    0.000    0.000    0.000    0.000 core.py:856(_DomainGreater)
        6    0.000    0.000    0.000    0.000 core.py:841(__init__)
        1    0.000    0.000    0.000    0.000 interpolate.py:2345(RegularGridInterpolator)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:1327(cosine_gen)
        1    0.000    0.000    0.000    0.000 decoder.py:254(JSONDecoder)
        1    0.000    0.000    0.000    0.000 reduction.py:251(AbstractReducer)
        1    0.000    0.000    0.000    0.000 parse.py:642(unquote)
        1    0.000    0.000    0.000    0.000 brill_trainer.py:21(BrillTaggerTrainer)
        1    0.000    0.000    0.000    0.000 pool.py:150(_PoolCache)
        1    0.000    0.000    0.000    0.000 errors.py:93(NonPrintableDefect)
        1    0.000    0.000    0.000    0.000 parser.py:79(BytesParser)
        1    0.000    0.000    0.000    0.000 records.py:224(record)
        1    0.000    0.000    0.000    0.000 reduction.py:40(_ReducerRegistry)
        1    0.000    0.000    0.000    0.000 radau.py:179(Radau)
        1    0.000    0.000    0.000    0.000 _regex_core.py:3000(get_required_string)
        4    0.000    0.000    0.000    0.000 logic.py:128(<listcomp>)
        1    0.000    0.000    0.000    0.000 ibm_model.py:60(IBMModel)
        1    0.000    0.000    0.000    0.000 api.py:504(ParallelProverBuilder)
        1    0.000    0.000    0.000    0.000 pickle.py:200(_Framer)
        1    0.000    0.000    0.000    0.000 collocations.py:269(QuadgramCollocationFinder)
        1    0.000    0.000    0.000    0.000 arlstem2.py:33(ARLSTem2)
        1    0.000    0.000    0.000    0.000 process_executor.py:295(_SafeQueue)
        1    0.000    0.000    0.000    0.000 tree.py:948(ImmutableTree)
        1    0.000    0.000    0.000    0.000 core.py:191(<listcomp>)
        1    0.000    0.000    0.000    0.000 npyio.py:115(NpzFile)
        6    0.000    0.000    0.000    0.000 types.py:132(_calculate_meta)
        3    0.000    0.000    0.000    0.000 {method 'popitem' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 resource_tracker.py:85(__init__)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:5956(moyal_gen)
        1    0.000    0.000    0.000    0.000 core.py:1278(_replace_dtype_fields_recursive)
        1    0.000    0.000    0.000    0.000 collocations.py:201(TrigramCollocationFinder)
        1    0.000    0.000    0.000    0.000 util.py:176(Dendrogram)
        1    0.000    0.000    0.000    0.000 _arff.py:456(DenseGeneratorData)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:8566(vonmises_gen)
        1    0.000    0.000    0.000    0.000 case.py:207(_AssertRaisesContext)
        1    0.000    0.000    0.000    0.000 pl196x.py:23(TEICorpusView)
        1    0.000    0.000    0.000    0.000 numpy_pickle.py:206(NumpyPickler)
        1    0.000    0.000    0.000    0.000 grammar.py:1010(FeatureValueType)
        1    0.000    0.000    0.000    0.000 _multivariate.py:3527(random_correlation_gen)
        1    0.000    0.000    0.000    0.000 _pep440.py:77(NegativeInfinity)
        1    0.000    0.000    0.000    0.000 ieer.py:42(IEERDocument)
        1    0.000    0.000    0.000    0.000 punkt.py:333(PunktParameters)
       12    0.000    0.000    0.000    0.000 _regex_core.py:1872(is_empty)
        1    0.000    0.000    0.000    0.000 zipfile.py:2227(Path)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:2006(foldnorm_gen)
        1    0.000    0.000    0.000    0.000 memmap.py:22(memmap)
        1    0.000    0.000    0.000    0.000 __future__.py:81(_Feature)
        1    0.000    0.000    0.000    0.000 shiftreduce.py:286(SteppingShiftReduceParser)
        1    0.000    0.000    0.000    0.000 version.py:31(Version)
        1    0.000    0.000    0.000    0.000 texttiling.py:24(TextTilingTokenizer)
        1    0.000    0.000    0.000    0.000 threading.py:510(Event)
        1    0.000    0.000    0.000    0.000 _stochastic_gradient.py:1942(SGDOneClassSVM)
        1    0.000    0.000    0.000    0.000 pool.py:100(CustomizablePicklingQueue)
        1    0.000    0.000    0.000    0.000 probability.py:1360(SimpleGoodTuringProbDist)
        1    0.000    0.000    0.000    0.000 drt.py:786(DrtConcatenation)
        1    0.000    0.000    0.000    0.000 regexp.py:254(RegexpChunkRule)
        1    0.000    0.000    0.000    0.000 _coordinate_descent.py:1736(LassoCV)
        1    0.000    0.000    0.000    0.000 _parallel_backends.py:222(PoolManagerMixin)
        1    0.000    0.000    0.000    0.000 shutil.py:69(Error)
        4    0.000    0.000    0.000    0.000 logic.py:131(<listcomp>)
        1    0.000    0.000    0.000    0.000 _regex_core.py:3706(SetInter)
        1    0.000    0.000    0.000    0.000 drt.py:1095(DrsDrawer)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:2918(genhalflogistic_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:5902(kappa3_gen)
        1    0.000    0.000    0.000    0.000 kdtree.py:310(innernode)
        1    0.000    0.000    0.000    0.000 glm.py:549(GammaRegressor)
        1    0.000    0.000    0.000    0.000 process_executor.py:902(LokyRecursionError)
        1    0.000    0.000    0.000    0.000 process.py:14(LokyProcess)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:6826(powerlognorm_gen)
        1    0.000    0.000    0.000    0.000 util.py:491(PickleCorpusView)
        1    0.000    0.000    0.000    0.000 __init__.py:270(LogRecord)
        2    0.000    0.000    0.000    0.000 {built-in method _sqlite3.register_adapter}
        1    0.000    0.000    0.000    0.000 fitpack2.py:986(BivariateSpline)
        1    0.000    0.000    0.000    0.000 suite.py:92(TestSuite)
        1    0.000    0.000    0.000    0.000 nkjp.py:181(NKJPCorpus_Header_View)
        1    0.000    0.000    0.000    0.000 core.py:2381(_MaskedPrintOption)
        1    0.000    0.000    0.000    0.000 parse.py:348(SplitResultBytes)
        1    0.000    0.000    0.000    0.000 rule.py:18(TagRule)
        1    0.000    0.000    0.000    0.000 text.py:692(TextCollection)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:9338(studentized_range_gen)
        1    0.000    0.000    0.000    0.000 _ridge.py:811(Ridge)
        1    0.000    0.000    0.000    0.000 perceptron.py:28(AveragedPerceptron)
        1    0.000    0.000    0.000    0.000 perceptron.py:122(PerceptronTagger)
        1    0.000    0.000    0.000    0.000 boxer.py:1207(BoxerNamed)
        1    0.000    0.000    0.000    0.000 _fortran.py:33(FortranFile)
        1    0.000    0.000    0.000    0.000 queues.py:338(SimpleQueue)
        1    0.000    0.000    0.000    0.000 distance.py:1676(CDistWeightedMetricWrapper)
        1    0.000    0.000    0.000    0.000 bracket_parse.py:127(CategorizedBracketParseCorpusReader)
        1    0.000    0.000    0.000    0.000 brill.py:189(BrillTagger)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:6360(nct_gen)
        1    0.000    0.000    0.000    0.000 lazyimport.py:25(LazyModule)
        1    0.000    0.000    0.000    0.000 api.py:13(StemmerI)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:486(arcsine_gen)
        6    0.000    0.000    0.000    0.000 wordnet.py:1105(<genexpr>)
        1    0.000    0.000    0.000    0.000 compressor.py:568(__init__)
        1    0.000    0.000    0.000    0.000 interface.py:507(_CustomLinearOperator)
        1    0.000    0.000    0.000    0.000 __init__.py:437(LibraryLoader)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:2064(weibull_min_gen)
        1    0.000    0.000    0.000    0.000 data.py:157(_minmax_mixin)
        1    0.000    0.000    0.000    0.000 index_tricks.py:300(__init__)
        1    0.000    0.000    0.000    0.000 arpack.py:984(IterOpInv)
        1    0.000    0.000    0.000    0.000 downloader.py:1119(DownloaderShell)
        1    0.000    0.000    0.000    0.000 _scorer.py:141(_BaseScorer)
        1    0.000    0.000    0.000    0.000 request.py:1587(CacheFTPHandler)
        1    0.000    0.000    0.000    0.000 core.py:6624(_extrema_operation)
        1    0.000    0.000    0.000    0.000 _split.py:453(GroupKFold)
        1    0.000    0.000    0.000    0.000 _discrete_distns.py:1064(zipf_gen)
        1    0.000    0.000    0.000    0.000 _discrete_distns.py:1312(skellam_gen)
        1    0.000    0.000    0.000    0.000 _internal.py:559(_Stream)
        1    0.000    0.000    0.000    0.000 csv.py:165(Sniffer)
        1    0.000    0.000    0.000    0.000 template.py:62(Template)
        1    0.000    0.000    0.000    0.000 _constraints.py:196(PreparedConstraint)
        1    0.000    0.000    0.000    0.000 association.py:253(TrigramAssocMeasures)
        1    0.000    0.000    0.000    0.000 _qmc.py:1161(MultivariateNormalQMC)
        1    0.000    0.000    0.000    0.000 bdf.py:72(BDF)
        1    0.000    0.000    0.000    0.000 _ode.py:1199(dop853)
        1    0.000    0.000    0.000    0.000 _ridge.py:2149(RidgeClassifierCV)
        1    0.000    0.000    0.000    0.000 zipfile.py:2209(FastLookup)
        4    0.000    0.000    0.000    0.000 logic.py:123(<listcomp>)
        1    0.000    0.000    0.000    0.000 boxer.py:56(Boxer)
        1    0.000    0.000    0.000    0.000 viterbi.py:19(ViterbiParser)
        1    0.000    0.000    0.000    0.000 _differentiable_functions.py:272(VectorFunction)
        1    0.000    0.000    0.000    0.000 chart.py:1340(ChartParser)
        1    0.000    0.000    0.000    0.000 _parallel_backends.py:190(SequentialBackend)
        1    0.000    0.000    0.000    0.000 _relative_risk.py:20(RelativeRiskResult)
        1    0.000    0.000    0.000    0.000 ibm5.py:121(IBMModel5)
        1    0.000    0.000    0.000    0.000 core.py:196(<listcomp>)
        4    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_tolower}
        7    0.000    0.000    0.000    0.000 _search.py:358(_estimator_has)
        1    0.000    0.000    0.000    0.000 maxent.py:679(GISEncoding)
        2    0.000    0.000    0.000    0.000 _regex_core.py:2046(_add_precheck)
        4    0.000    0.000    0.000    0.000 _regex_core.py:2516(<genexpr>)
        1    0.000    0.000    0.000    0.000 _multivariate.py:2360(invwishart_gen)
        1    0.000    0.000    0.000    0.000 _linprog_doc.py:2(<module>)
        1    0.000    0.000    0.000    0.000 weka.py:246(ARFF_Formatter)
        1    0.000    0.000    0.000    0.000 combinator.py:214(UndirectedSubstitution)
        1    0.000    0.000    0.000    0.000 gale_church.py:78(LanguageIndependent)
        1    0.000    0.000    0.000    0.000 chart.py:1012(FundamentalRule)
        1    0.000    0.000    0.000    0.000 _quadrature.py:62(cache_decorator)
        1    0.000    0.000    0.000    0.000 typing.py:1879(_namedtuple_mro_entries)
        3    0.000    0.000    0.000    0.000 datetime.py:45(_days_before_year)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:5277(loglaplace_gen)
        1    0.000    0.000    0.000    0.000 _fortran_format_parser.py:35(IntFormat)
        1    0.000    0.000    0.000    0.000 _arff.py:901(ArffEncoder)
        1    0.000    0.000    0.000    0.000 _ufunc_config.py:29(<dictcomp>)
        1    0.000    0.000    0.000    0.000 selectors.py:291(SelectSelector)
