query	ranking	boost/normal	boost window	precision	recall	fmeasure	AP	NDCG	latency (s)	throughput (q/s)
50	tf-idf	boost	9	0.9093333333333333	0.6251137043692324	0.7372019522294101	0.9609269168028299	0.9671428134882674	2.0695592454001597	0.48319467163001895
10	tf-idf	boost	10	1.0	0.13882614322105002	0.24323560427537355	0.9000000000000002	0.9702017276978071	2.059754017599941	0.48549486562731237
20	tf-idf	boost	10	0.9933333333333334	0.2755789981103739	0.42986650443085567	0.9492787524366469	0.9691160996529155	2.059754017599941	0.48549486562731237
50	tf-idf	boost	10	0.9093333333333332	0.6258500694262725	0.7376657963955798	0.9610967238616949	0.9675187013078258	2.059754017599941	0.48549486562731237
10	tf-idf	boost	11	1.0	0.13882614322105002	0.24323560427537355	0.9000000000000002	0.9704136314123243	2.0569873548668207	0.48614785970074414
20	tf-idf	boost	11	0.9933333333333334	0.2755789981103739	0.42986650443085567	0.9494639376218321	0.9690547686920982	2.0569873548668207	0.48614785970074414
50	tf-idf	boost	11	0.9093333333333332	0.6258500694262725	0.7376657963955798	0.9616189251004413	0.9675467401498548	2.0569873548668207	0.48614785970074414
10	tf-idf	boost	12	1.0	0.13882614322105002	0.24323560427537355	0.9000000000000002	0.9704136314123243	2.0550187182000323	0.48661357249139253
20	tf-idf	boost	12	0.9933333333333334	0.2755789981103739	0.42986650443085567	0.9494639376218321	0.969070944454524	2.0550187182000323	0.48661357249139253
50	tf-idf	boost	12	0.9106666666666668	0.6266939512828126	0.738699388126846	0.9616124887175486	0.9676796332923677	2.0550187182000323	0.48661357249139253
10	tf-idf	boost	13	1.0	0.13882614322105002	0.24323560427537355	0.9000000000000002	0.9704136314123243	2.144021641666283	0.4664132024445535
20	tf-idf	boost	13	0.9933333333333334	0.2755789981103739	0.42986650443085567	0.9494639376218321	0.9690758830781618	2.144021641666283	0.4664132024445535
50	tf-idf	boost	13	0.9093333333333334	0.6256838502727116	0.7375499628394897	0.96137110078139	0.9676239710185013	2.144021641666283	0.4664132024445535
10	tf-idf	boost	14	1.0	0.13882614322105002	0.24323560427537355	0.9000000000000002	0.9719757802635505	2.0442865503996774	0.4891682136266515
20	tf-idf	boost	14	0.9933333333333334	0.2755789981103739	0.42986650443085567	0.9496491228070172	0.9688068438844718	2.0442865503996774	0.4891682136266515
50	tf-idf	boost	14	0.9133333333333334	0.6289002032376985	0.7410998819894089	0.9621858218729022	0.9675447306043933	2.0442865503996774	0.4891682136266515
10	tf-idf	boost	15	1.0	0.13882614322105002	0.24323560427537355	0.9000000000000002	0.9719757802635505	2.0588129784668125	0.48571677488874915
20	tf-idf	boost	15	0.9933333333333334	0.2755789981103739	0.42986650443085567	0.9498245614035085	0.969399916649383	2.0588129784668125	0.48571677488874915
50	tf-idf	boost	15	0.916	0.6309190356294122	0.7433897902462896	0.9626347188655813	0.9675908938455897	2.0588129784668125	0.48571677488874915
10	tf-idf	boost	16	1.0	0.13882614322105002	0.24323560427537355	0.9000000000000002	0.9729159380894103	2.0622396436002117	0.4849096966510752
20	tf-idf	boost	16	0.9933333333333334	0.2755789981103739	0.42986650443085567	0.9498245614035085	0.9703360571098832	2.0622396436002117	0.4849096966510752
50	tf-idf	boost	16	0.916	0.6309190356294122	0.7433897902462896	0.9625544400283922	0.9680783674344947	2.0622396436002117	0.4849096966510752
10	tf-idf	boost	17	1.0	0.13882614322105002	0.24323560427537355	0.9000000000000002	0.973288891848837	2.1139589602000344	0.47304608028217093
20	tf-idf	boost	17	0.9933333333333334	0.2755789981103739	0.42986650443085567	0.9498245614035085	0.9706894660499609	2.1139589602000344	0.47304608028217093
50	tf-idf	boost	17	0.916	0.6309190356294122	0.7433897902462896	0.9628624007093446	0.9685509452172681	2.1139589602000344	0.47304608028217093
10	tf-idf	boost	18	1.0	0.13882614322105002	0.24323560427537355	0.9000000000000002	0.973288891848837	2.1333263296666702	0.46875153889665294
20	tf-idf	boost	18	0.9933333333333334	0.2755789981103739	0.42986650443085567	0.9498245614035085	0.97073500318417	2.1333263296666702	0.46875153889665294
50	tf-idf	boost	18	0.916	0.6309190356294122	0.7433897902462896	0.9630081048550488	0.9686136149825011	2.1333263296666702	0.46875153889665294
10	tf-idf	boost	19	1.0	0.13882614322105002	0.24323560427537355	0.9000000000000002	0.973288891848837	2.070989920133434	0.4828608726089647
20	tf-idf	boost	19	0.9933333333333334	0.2755789981103739	0.42986650443085567	0.9498245614035085	0.97073500318417	2.070989920133434	0.4828608726089647
50	tf-idf	boost	19	0.916	0.6309190356294122	0.7433897902462896	0.9631312990651307	0.9685988025142774	2.070989920133434	0.4828608726089647
10	tf-idf	boost	20	1.0	0.13882614322105002	0.24323560427537355	0.9000000000000002	0.973288891848837	2.071867841000009	0.4826562680355806
20	tf-idf	boost	20	0.9933333333333334	0.2755789981103739	0.42986650443085567	0.9498245614035085	0.9707554461152826	2.071867841000009	0.4826562680355806
50	tf-idf	boost	20	0.9173333333333333	0.6320489791322371	0.7446130318365037	0.9631585099494845	0.9684640157990548	2.071867841000009	0.4826562680355806
10	tf-idf	boost	25	1.0	0.13882614322105002	0.24323560427537355	0.9000000000000002	0.973288891848837	2.04725551833338	0.48845881280812237
20	tf-idf	boost	25	0.9933333333333334	0.2755789981103739	0.42986650443085567	0.9498245614035085	0.9709660101724427	2.04725551833338	0.48845881280812237
50	tf-idf	boost	25	0.9173333333333333	0.6320489791322371	0.7446130318365037	0.9633682575532625	0.9686695142534835	2.04725551833338	0.48845881280812237
10	tf-idf	boost	30	1.0	0.13882614322105002	0.24323560427537355	0.9000000000000002	0.9733763282715808	2.093227794800138	0.4777310918974685
20	tf-idf	boost	30	0.9933333333333334	0.2755789981103739	0.42986650443085567	0.9498245614035085	0.970807445299434	2.093227794800138	0.4777310918974685
50	tf-idf	boost	30	0.9186666666666666	0.6330590801423381	0.7457624571238599	0.9634991521124179	0.9686252467363853	2.093227794800138	0.4777310918974685
10	tf-idf	boost	35	1.0	0.13882614322105002	0.24323560427537355	0.9000000000000002	0.9733763282715808	2.0596292812664614	0.48552426841839336
20	tf-idf	boost	35	0.9933333333333334	0.2755789981103739	0.42986650443085567	0.9498245614035085	0.970807445299434	2.0596292812664614	0.48552426841839336
50	tf-idf	boost	35	0.9186666666666666	0.6330590801423381	0.7457624571238599	0.9638599902935833	0.9686402734998708	2.0596292812664614	0.48552426841839336
10	tf-idf	boost	40	1.0	0.13882614322105002	0.24323560427537355	0.9000000000000002	0.9733763282715808	2.1428305171997635	0.46667246521521133
20	tf-idf	boost	40	0.9933333333333334	0.2755789981103739	0.42986650443085567	0.9498245614035085	0.970807445299434	2.1428305171997635	0.46667246521521133
50	tf-idf	boost	40	0.9186666666666666	0.6330590801423381	0.7457624571238599	0.9638599902935833	0.9686727770974585	2.1428305171997635	0.46667246521521133
10	tf-idf	boost	45	1.0	0.13882614322105002	0.24323560427537355	0.9000000000000002	0.9733763282715808	2.1692328263333667	0.46099247063778315
20	tf-idf	boost	45	0.9933333333333334	0.2755789981103739	0.42986650443085567	0.9498245614035085	0.970807445299434	2.1692328263333667	0.46099247063778315
50	tf-idf	boost	45	0.9186666666666666	0.6330590801423381	0.7457624571238599	0.9638599902935833	0.9686791351951454	2.1692328263333667	0.46099247063778315
10	tf-idf	boost	50	1.0	0.13882614322105002	0.24323560427537355	0.9000000000000002	0.9733763282715808	2.1559618059331114	0.46383010925705837
20	tf-idf	boost	50	0.9933333333333334	0.2755789981103739	0.42986650443085567	0.9498245614035085	0.970807445299434	2.1559618059331114	0.46383010925705837
50	tf-idf	boost	50	0.9186666666666666	0.6330590801423381	0.7457624571238599	0.9638960263296193	0.9687316416176013	2.1559618059331114	0.46383010925705837
10	tf-idf	boost	100	1.0	0.13882614322105002	0.24323560427537355	0.9000000000000002	0.9733763282715808	2.1576845843334014	0.4634597694495471
20	tf-idf	boost	100	0.9933333333333334	0.2755789981103739	0.42986650443085567	0.9498245614035085	0.970807445299434	2.1576845843334014	0.4634597694495471
50	tf-idf	boost	100	0.9186666666666666	0.6330590801423381	0.7457624571238599	0.9638960263296193	0.9687381799222943	2.1576845843334014	0.4634597694495471
10	tf-idf	boost	150	1.0	0.13882614322105002	0.24323560427537355	0.9000000000000002	0.9733763282715808	2.071120017200277	0.4828305417818287
20	tf-idf	boost	150	0.9933333333333334	0.2755789981103739	0.42986650443085567	0.9498245614035085	0.970807445299434	2.071120017200277	0.4828305417818287
50	tf-idf	boost	150	0.9186666666666666	0.6330590801423381	0.7457624571238599	0.9638960263296193	0.9687381799222943	2.071120017200277	0.4828305417818287
10	tf-idf	boost	200	1.0	0.13882614322105002	0.24323560427537355	0.9000000000000002	0.9733763282715808	2.096786751399971	0.4769202205862496
20	tf-idf	boost	200	0.9933333333333334	0.2755789981103739	0.42986650443085567	0.9498245614035085	0.970807445299434	2.096786751399971	0.4769202205862496
50	tf-idf	boost	200	0.9186666666666666	0.6330590801423381	0.7457624571238599	0.9638960263296193	0.9687381799222943	2.096786751399971	0.4769202205862496
